NO,DATE,TEMP,HUM,PM 1.0,PM 2.5,PM 10,CO2,HCHO,CO,NO2,RN,VOCs,O3,SO2,H2S,O2,NH3,AB,BattV,Heater,Blackout
311,2023-07-20_19:44:37,24.1,56,26.1,27.3,27.3,781,0,0,0,0,1126.5,0,0,0,940,0,0,0,0,0
312,2023-07-20_19:45:37,24.1,54.5,26.8,28.1,28.1,784,0,0,0,0,905.8,0,0,0,933,0,0,0,0,0
313,2023-07-20_19:46:38,24.1,53.9,27.5,28.8,28.8,784,0,0,0,0,864.9,0,0,0,946,0,0,0,0,0
314,2023-07-20_19:47:38,24.1,54,26.4,27.7,27.7,780,0,0,0,0,834.7,0,0,0,937,0,0,0,0,0
315,2023-07-20_19:48:38,24.1,54.4,28.9,30.3,30.3,779,0,0,0,0,875.2,0,0,0,944,0,0,0,0,0
316,2023-07-20_19:49:38,24,55,27,28.3,28.3,780,0,0,0,0,875.5,0,0,0,945,0,0,0,0,0
317,2023-07-20_19:50:38,23.9,55.6,28,29.3,29.3,786,0,0,0,0,865.4,0,0,0,943,0,0,0,0,0
318,2023-07-20_19:51:39,23.9,56,25.6,26.9,26.9,784,0,0,0,0,906.3,0,0,0,946,0,0,0,0,0
319,2023-07-20_19:52:39,23.9,56.4,26.7,28,28,782,0,0,0,0,916.5,0,0,0,944,0,0,0,0,0
320,2023-07-20_19:53:39,23.9,56.8,28,29.3,29.3,774,0,0,0,0,968.2,0,0,0,960,0,0,0,0,0
321,2023-07-20_19:54:39,23.9,57.2,25.6,26.9,26.9,773,0,0,0,0,1020.6,0,0,0,947,0,0,0,0,0
322,2023-07-20_19:55:39,23.8,57.7,26.3,27.6,27.7,772,0,0,0,0,1010.2,0,0,0,969,0,0,0,0,0
