NO,DATE,TEMP,HUM,PM 1.0,PM 2.5,PM 10,CO2,HCHO,CO,NO2,RN,VOCs,O3,SO2,H2S,O2,NH3,AB,BattV,Heater,Blackout
394,2023-07-20_21:07:54,23.6,58.8,24.5,25.7,25.7,725,0,0,0,0,620.2,0,0,0,1059,0,0,0,0,0
395,2023-07-20_21:08:54,23.5,59.5,22.7,23.8,23.8,723,0,0,0,0,591.7,0,0,0,1060,0,0,0,0,0
396,2023-07-20_21:09:54,23.4,59.9,24.3,25.5,25.5,719,0,0,0,0,442.6,0,0,0,1058,0,0,0,0,0
397,2023-07-20_21:10:55,18.3,60.3,24.9,26.1,26.1,716,0,0,0,0,450.2,0,0,0,1068,0,0,0,0,0
398,2023-07-20_21:11:55,23.5,60.5,23.8,25,25,714,0,0,0,0,442.6,0,0,0,1072,0,0,0,0,0
399,2023-07-20_21:12:55,23.4,60.8,25.2,26.4,26.4,716,0,0,0,0,461,0,0,0,1064,0,0,0,0,0
400,2023-07-20_21:13:55,23.4,61.2,24,25.2,25.2,715,0,0,0,0,451.9,0,0,0,1081,0,0,0,0,0
401,2023-07-20_21:14:56,23.4,61.5,24.3,25.5,25.5,713,0,0,0,0,424.4,0,0,0,1070,0,0,0,0,0
402,2023-07-20_21:15:56,23.4,61.5,24.5,25.7,25.7,712,0,0,0,0,433.5,0,0,0,1071,0,0,0,0,0
403,2023-07-20_21:16:56,23.4,61.8,23,24.1,24.1,714,0,0,0,0,442.7,0,0,0,1069,0,0,0,0,0
404,2023-07-20_21:17:56,23.2,62.4,23,24.1,24.1,714,0,0,0,0,379.2,0,0,0,1073,0,0,0,0,0
405,2023-07-20_21:18:56,23.3,62.4,23.5,24.7,24.7,715,0,0,0,0,325.4,0,0,0,1073,0,0,0,0,0
406,2023-07-20_21:19:57,23.3,61.4,24.8,26,26,709,0,0,0,0,325.4,0,0,0,1080,0,0,0,0,0
407,2023-07-20_21:20:57,23.4,60.2,24.6,25.8,25.8,705,0,0,0,0,316.3,0,0,0,1081,0,0,0,0,0
408,2023-07-20_21:21:57,23.5,58.4,23.4,24.7,24.8,702,0,0,0,0,343,0,0,0,1079,0,0,0,0,0
409,2023-07-20_21:22:57,18.4,55.7,22.8,23.9,23.9,710,0,0,0,0,339.8,0,0,0,1092,0,0,0,0,0
410,2023-07-20_21:23:57,23.4,56,22.9,24,24,739,0,0,0,0,272.2,0,0,0,1080,0,0,0,0,0
